Author(s),Year,Aim,Method,Participants/Dataset,Main Findings,Key Limitations,Keywords,APA Reference
Ihsan U.; Jhanjhi N.Z.; Ashraf H.; Ashfaq F.; Wicaksana F.A.,2025,This study describes the creation of an intelligent surveillance system based on deep learning that aims to improve real-time security monitoring by automatically identifying suspicious activity.,Uses YOLO.,Not specified,See paper for details.,lack of diversity in the dataset still exist.,deep learning; YOLO; object detection,"Ihsan, U., Jhanjhi, N. Z., Ashraf, H., Ashfaq, F., & Wicaksana, F. A. (2025, September 4). A Real-Time Intelligent Surveillance System for Suspicious Behavior and Facial Emotion Analysis Using YOLOv8 and DeepFace. <i>The 7th International Global Conference Series on ICT Integration in Technical Education &amp; Smart Society</i>. MDPI. http://doi.org/10.3390/engproc2025107059"
Yang Y.; Xie L.; Fu Z.; Yan J.; Naqvi S.M.,2025,we present a novel self and mutual scene-adaptive matching method for abnormal event detection.,Uses pose estimation.,"UCSD PED1, ShanghaiTech Campus","8%, on UCSD PED2 & PED1 datasets.","lack of labelled data, most approaches are semi-supervised based on reconstruction or prediction methods.",anomaly detection; object detection; pose estimation,"Yang, Y., Xie, L., Fu, Z., Yan, J., & Naqvi, S. M. (2025, January). Pose-oriented scene-adaptive matching for abnormal event detection. <i>Neurocomputing</i>. Elsevier BV. http://doi.org/10.1016/j.neucom.2024.128673"
Vo H.-T.; Tien P.P.; Thien N.N.; Mui K.C.,2024,we focus on training multiple models to detect violence.,"Uses Long Short-Term Memory, ResNet, MobileNet, BiLSTM, DenseNet.",Not specified,See paper for details.,challenging.,violence detection; LSTM; IoT; ResNet; MobileNet,"Vo, H.-T., Tien, P. P., Thien, N. N., & Mui, K. C. (2024, October 18). An Approach for Improving Accuracy and Optimizing Resource Usage for Violence Detection in Surveillance Cameras in IoT systems. <i>Indonesian Journal of Electrical Engineering and Informatics (IJEEI)</i>. IAES Indonesia Section. http://doi.org/10.52549/ijeei.v12i4.5787"
Muriithi H.M.; Lukandu Ateya I.; Wanyembi G.,2024,This study addresses the aforementioned gap by providing a standoff concealed firearm detection approach on video based on skeletal-based human motion tracking and convolutional neural networks (CNN).,Uses convolutional neural network.,Not specified,outperformed results obtained from traditional machine learning models therefore highlighting the superior capability of the proposed approach for concealed firearm detection on video to complement the efforts of human video surveillance operators.,Not specified,weapon detection; firearm detection; CNN; convolutional neural network; video surveillance,"Muriithi, H. M., Lukandu Ateya, I., & Wanyembi, G. (2024, September 1). Stand-off concealed firearm detection using motion tracking and convolutional neural networks. <i>IAES International Journal of Artificial Intelligence (IJ-AI)</i>. Institute of Advanced Engineering and Science. http://doi.org/10.11591/ijai.v13.i3.pp2666-2673"
Ul Amin S.; Kim B.; Jung Y.; Seo S.; Park S.,2024,This study proposes an innovative method combining 3D convolutions and long short-term memory (LSTM) modules to capture spatiotemporal features in video data.,"Uses convolutional neural network, long short-term memory, autoencoder.",UCSDPed1,"results demonstrate significant reductions in false alarms and improved accuracy compared to contemporary methods, with enhancements of 2.7%, 0.",challenge for analysts due to the infrequent occurrence of unusual events.,anomaly detection; LSTM; convolutional neural network; autoencoder; spatiotemporal features,"Ul Amin, S., Kim, B., Jung, Y., Seo, S., & Park, S. (2024, June 19). Video Anomaly Detection Utilizing Efficient Spatiotemporal Feature Fusion with 3D Convolutions and Long Short‐Term Memory Modules. <i>Advanced Intelligent Systems</i>. Wiley. http://doi.org/10.1002/aisy.202300706"
Dey A.; Biswas S.; Abualigah L.,2024,This research presents a new lightweight model to address this gap by accurately identifying and categorizing violent behaviors in various scenariosincluding CCTV footage.,"Uses CNN, Attention mechanism, GRU, optical flow.","Movie Fights, EAVDD, Hockey Fight, SCVD",See paper for details.,Not specified,violence detection; CNN; optical flow; attention mechanism; GRU,"Dey, A., Biswas, S., & Abualigah, L. (2024, July 13). Efficient Violence Recognition in Video Streams using ResDLCNN-GRU Attention Network. <i>ECTI Transactions on Computer and Information Technology (ECTI-CIT)</i>. ECTI. http://doi.org/10.37936/ecti-cit.2024183.255679"
da Silva A.V.B.; Alves Pereira L.F.,2024,"we evaluate both learned and handcrafted features to classify videos as ’violence’ or ’non-violence’ across a variety of datasets, including a new dataset composed exclusively of closed-circuit television (CCTV) images.",Uses Yolo.,Not specified,See paper for details.,challenging.,violence detection; firearm detection; YOLO; object detection; CCTV,"Da Silva, A. V. B., & Pereira, L. F. A. (2024, October 5). Evaluating Methods for Violence Classification and Firearm Detection in Indoor CCTV Environment. <i>Journal of the Brazilian Computer Society</i>. Sociedade Brasileira de Computacao - SB. http://doi.org/10.5753/jbcs.2024.3282"
Mukto M.M.; Hasan M.; Al Mahmud M.M.; Haque I.; Ahmed M.A.; Jabid T.; Ali M.S.; Ahmmad Rashid M.R.; Manzurul Islam M.; Islam M.,2024,we propose an effective Crime Monitoring System (CMS) that can detect a crime in real-time using a camera surveillance system and notify the appropriate law enforcement officer.,"Uses YOLO, transfer learning, MobileNet.",Not specified,The face recognition model had a 97% accuracy rate in detecting faces.,"lacking, for example, in detecting crimes.",violence detection; weapon detection; deep learning; YOLO; transfer learning,"Mukto, M. M., Hasan, M., Al Mahmud, M. M., Haque, I., Ahmed, M. A., Jabid, T., … Islam, M. (2024, March). Design of a real-time crime monitoring system using deep learning techniques. <i>Intelligent Systems with Applications</i>. Elsevier BV. http://doi.org/10.1016/j.iswa.2023.200311"
Berardini D.; Migliorelli L.; Galdelli A.; Frontoni E.; Mancini A.; Moccia S.,2024,The early detection of handguns and knives from surveillance videos is crucial to enhance people’s safety.,Uses Convolutional Neural Network.,Not specified,See paper for details.,challenges.,weapon detection; deep learning; CNN; convolutional neural network; video surveillance,"Berardini, D., Migliorelli, L., Galdelli, A., Frontoni, E., Mancini, A., & Moccia, S. (2023, July 26). A deep-learning framework running on edge devices for handgun and knife detection from indoor video-surveillance cameras. <i>Multimedia Tools and Applications</i>. Springer Science and Business Media LLC. http://doi.org/10.1007/s11042-023-16231-x"
Haiura I.-A.; Iftene A.,2024,"This paper explores the practical implementation of 3D Convolutional Neural Networks (CNNs) for real-time violence detection in surveillance scenarios, focusing on applications such as traffic aggression and bullying detection.","Uses Convolutional Neural Network, 3D Convolutional.",Not specified,See paper for details.,challenges of limited annotated data and diverse environmental conditions.,violence detection; deep learning; CNN; convolutional neural network; 3D CNN,"Haiura, I.-A., & Iftene, A. (2024). Detecting Violence in Videos using Convolutional Neural Networks. <i>Procedia Computer Science</i>. Elsevier BV. http://doi.org/10.1016/j.procs.2024.09.465"
Dalal S.; Lilhore U.K.; Sharma N.; Arora S.; Simaiya S.; Ayadi M.; Almujally N.A.; Ksibi A.,2024,This article proposes the YOLO model with transfer learning for intelligent surveillance in Internet of Thing (IoT)-enabled home environments in smart cities.,"Uses you only look once, transfer learning.",crowd,outperforms the conventional one.,challenging process.,violence detection; YOLO; object detection; transfer learning; action recognition,"Dalal, S., Lilhore, U. K., Sharma, N., Arora, S., Simaiya, S., Ayadi, M., … Ksibi, A. (2024, June 13). Improving smart home surveillance through YOLO model with transfer learning and quantization for enhanced accuracy and efficiency. <i>PeerJ Computer Science</i>. PeerJ. http://doi.org/10.7717/peerj-cs.1939"
Khan M.; Saddik A.E.; Gueaieb W.; De Masi G.; Karray F.,2024,"We propose an artificial intelligence-based framework called VD-Net (Violence Detection Network), enabled by Intelligent Internet-of-Things (IIoT) to detect violent behavior in public and private spaces.",Deep learning-based approach.,Not specified,See paper for details.,"challenging, especially for real-time surveillance systems with limited computing power.",violence detection; IoT,"Khan, M., Saddik, A. E., Gueaieb, W., De Masi, G., & Karray, F. (2024). VD-Net: An Edge Vision-Based Surveillance System for Violence Detection. <i>IEEE Access</i>. Institute of Electrical and Electronics Engineers (IEEE). http://doi.org/10.1109/access.2024.3380192"
Park J.-H.; Mahmoud M.; Kang H.-S.,2024,This study aims to introduce a model that adeptly grasps the spatiotemporal context of videos within diverse settings and specifications of violent scenarios.,"Uses ResNet, attention mechanism, optical flow.","Crowd, UBI-Fight","outperformed existing state-of-the-art techniques, achieving area under the curve scores of 95.",challenge.,violence detection; optical flow; attention mechanism; spatiotemporal features; IoT,"Park, J.-H., Mahmoud, M., & Kang, H.-S. (2024, January 5). Conv3D-Based Video Violence Detection Network Using Optical Flow and RGB Data. <i>Sensors</i>. MDPI AG. http://doi.org/10.3390/s24020317"
Jebur S.A.; Hussein K.A.; Hoomod H.K.; Alzubaidi L.,2023,this paper offers a new multi-scenario violence detection framework that operates in two environments: fighting in various locations and rugby stadiums.,"Uses ResNet, transfer learning, Inception.",RLVS,41% on the Hockey datasets with just a single classifier.,limited to violence detection and can be adapted to different tasks.,violence detection; transfer learning; ResNet,"Jebur, S. A., Hussein, K. A., Hoomod, H. K., & Alzubaidi, L. (2023, September 5). Novel Deep Feature Fusion Framework for Multi-Scenario Violence Detection. <i>Computers</i>. MDPI AG. http://doi.org/10.3390/computers12090175"
Garcia-Cobo G.; SanMiguel J.C.,2023,we propose a novel deep learning architecture that accurately and efficiently detects violent crimes in surveillance videos.,"Uses LSTM, human pose.",Not specified,outperforming other combination alternatives of the literature.,Not specified,violence detection; deep learning; LSTM,"Garcia-Cobo, G., & SanMiguel, J. C. (2023, August). Human skeletons and change detection for efficient violence detection in surveillance videos. <i>Computer Vision and Image Understanding</i>. Elsevier BV. http://doi.org/10.1016/j.cviu.2023.103739"
Jebur S.A.; Hussein K.A.; Hoomod H.K.,2023,The use of video surveillance systems has increased due to security concerns and their relatively low cost.,"Uses Convolutional Neural Network, transfer learning, Inception.",UCF-Crime,"results demonstrate that transfer learning using Inception-v3 architecture can effectively classify normal and abnormal behaviors in videos, and fine-tuning the weights of the layers can further improve the model's performance.",Not specified,anomaly detection; deep learning; CNN; convolutional neural network; video surveillance,"(2023, June 29). Abnormal Behavior Detection in Video Surveillance Using Inception-v3 Transfer Learning Approaches. <i>Iraqi Journal of Computer, Communication, Control and System Engineering</i>. University of Technology, Baghdad. http://doi.org/10.33103/uot.ijccce.23.2.16"
Perseghin E.; Foresti G.L.,2023,"This paper presents a novel low-cost integrated system prototype, called School Violence Detection system (SVD), based on a 2D Convolutional Neural Network (CNN).","Uses Convolutional Neural Network, transfer learning.",DSB,"The SVD, which achieves a recognition accuracy of 95%, is considered computably efficient and low-cost.",Not specified,violence detection; CNN; convolutional neural network; transfer learning,"Perseghin, E., & Foresti, G. L. (2023, April 14). A Shallow System Prototype for Violent Action Detection in Italian Public Schools. <i>Information</i>. MDPI AG. http://doi.org/10.3390/info14040240"
Le V.-T.; Kim Y.-G.,2023,Automatic anomaly detection is a crucial task in video surveillance system intensively used for public safety and others.,"Uses convolutional neural network, autoencoder.","UCSD Ped2, ShanghaiTech, CUHK Avenue","outperforms the state-of-the-art methods, achieving 97.",Not specified,anomaly detection; convolutional neural network; video surveillance; autoencoder,"Le, V.-T., & Kim, Y.-G. (2022, May 25). Attention-based residual autoencoder for video anomaly detection. <i>Applied Intelligence</i>. Springer Science and Business Media LLC. http://doi.org/10.1007/s10489-022-03613-1"
Zhang Q.; Wei H.; Chen J.; Du X.; Yu J.,2023,We introduce an attention mechanism to improve the feature representation ability of the model.,"Uses Auto-Encoder, attention mechanism.","CUHK Avenue, UCSD Ped1","results show that compared with the baseline model, the accuracy of our model improved by 1.9%, 1.","limited computing power, the complex model will greatly reduce the detection efficiency, and unnecessary background information will seriously affect the detection accuracy of the model.",anomaly detection; attention mechanism,"Zhang, Q., Wei, H., Chen, J., Du, X., & Yu, J. (2023, February 16). Video Anomaly Detection Based on Attention Mechanism. <i>Symmetry</i>. MDPI AG. http://doi.org/10.3390/sym15020528"
Kozhamkulova Z.; Kirgizbayeva B.; Sembina G.; Smailova U.; Suleimenova M.; Keneskanova A.; Baizakova Z.,2023,"In this article, we provide a MoveNET-based technique that we think may be used to detect violent actions.",Deep learning-based approach.,Not specified,"According to the findings, an accuracy rate of 98% was attained while attempting to detect aggressive behavior in video sequences.",Not specified,deep learning; computer vision,"Kozhamkulova, Z., Kirgizbayeva, B., Sembina, G., Smailova, U., Suleimenova, M., Keneskanova, A., & Baizakova, Z. (2023). MoveNET Enabled Neural Network for Fast Detection of Physical Bullying in Educational Institutions. <i>International Journal of Advanced Computer Science and Applications</i>. The Science and Information Organization. http://doi.org/10.14569/ijacsa.2023.0140578"
Khalaf S.Z.; Shujaa M.I.; Alwahhab A.B.A.,2023,Law enforcement and civilian protection are increasingly dependent on surveillance technologies.,Deep learning-based approach.,"crowd, AIRTLab",31% with the logistic regression classifier having superior generalization skills.,Not specified,violence detection; video surveillance; IoT; feature extraction,"(2023, August 31). Utilizing Machine Learning and Computer Vision for the Detection of Abusive Behavior in IoT Systems. <i>International Journal of Intelligent Engineering and Systems</i>. The Intelligent Networks and Systems Society. http://doi.org/10.22266/ijies2023.0831.36"
Xu X.; Liao Z.; Xu Z.,2023,The use of surveillance cameras has made it possible to analyze a huge amount of data for automated surveillance.,"Uses convolutional neural network, 3D CNN.",Hockey Fight,results show that the final accuracy of this analysis is equal to 99.9% and 96% from each dataset.,Not specified,CNN; convolutional neural network; 3D CNN,"Xu, X., Liao, Z., & Xu, Z. (2023). Violent Physical Behavior Detection using 3D Spatio-Temporal Convolutional Neural Networks. <i>International Journal of Advanced Computer Science and Applications</i>. The Science and Information Organization. http://doi.org/10.14569/ijacsa.2023.0140891"
Aldehim G.; Asiri M.M.; Aljebreen M.; Mohamed A.; Assiri M.; Ibrahim S.S.,2023,This article presents a Tuna Swarm Optimization with Deep Learning Enabled Violence Detection (TSODL-VD) technique to classify violent actions in surveillance videos.,"Uses autoencoder, DenseNet.",Not specified,See paper for details.,challenging to ensure public safety and security.,violence detection; deep learning; video surveillance; autoencoder,"Aldehim, G., Asiri, M. M., Aljebreen, M., Mohamed, A., Assiri, M., & Ibrahim, S. S. (2023). Tuna Swarm Algorithm With Deep Learning Enabled Violence Detection in Smart Video Surveillance Systems. <i>IEEE Access</i>. Institute of Electrical and Electronics Engineers (IEEE). http://doi.org/10.1109/access.2023.3310885"
Gandapur M.Q.; Verdu E.,2023,Video surveillance for real-world anomaly detection and prevention using deep learning is an important and difficult research area.,"Uses Convolutional Neural Network, ResNet, GRU.",UCF-Crime,outperformed the related deep learning models.,Not specified,anomaly detection; deep learning; CNN; convolutional neural network; video surveillance,"Qasim Gandapur, M., & Verdú, E. (2023, December 1). ConvGRU-CNN: Spatiotemporal Deep Learning for Real-World Anomaly Detection in Video Surveillance System. <i>International Journal of Interactive Multimedia and Artificial Intelligence</i>. Universidad Internacional de La Rioja. http://doi.org/10.9781/ijimai.2023.05.006"
Amin S.U.; Kim Y.; Sami I.; Park S.; Seo S.,2023,we introduce an efficient Attention-based deep-learning approach for anomaly detection in surveillance video (ADSV).,"Uses CNN, Long Short-Term Memory.",Not specified,See paper for details.,challenging benchmark datasets.,anomaly detection; CNN; LSTM,"Ul Amin, S., Kim, Y., Sami, I., Park, S., & Seo, S. (2023). An Efficient Attention-Based Strategy for Anomaly Detection in Surveillance Video. <i>Computer Systems Science and Engineering</i>. Tech Science Press. http://doi.org/10.32604/csse.2023.034805"
Wu M.-T.,2022,This research proposes a motion recognition system for early detection of students' physical aggressive behavior in the classroom.,Deep learning-based approach.,Not specified,See paper for details.,Not specified,deep learning; computer vision,"Wu, M.-T. (2022, February 23). Confusion matrix and minimum cross-entropy metrics based motion recognition system in the classroom. <i>Scientific Reports</i>. Springer Science and Business Media LLC. http://doi.org/10.1038/s41598-022-07137-z"
Mumtaz N.; Ejaz N.; Aladhadh S.; Habib S.; Lee M.Y.,2022,The study of automated video surveillance systems study using computer vision techniques is a hot research topic and has been deployed in many real-world CCTV environments.,Deep learning-based approach.,Not specified,See paper for details.,Not specified,violence detection; deep learning; video surveillance; CCTV,"Mumtaz, N., Ejaz, N., Aladhadh, S., Habib, S., & Lee, M. Y. (2022, December 1). Deep Multi-Scale Features Fusion for Effective Violence Detection and Control Charts Visualization. <i>Sensors</i>. MDPI AG. http://doi.org/10.3390/s22239383"
Ahmed S.; Bhatti M.T.; Khan M.G.; Lovstrom B.; Shahid M.,2022,"the purpose of this work, making the selection of model and computing device easier for the users for deployment in a real-time scenario.",Uses YOLO.,Custom dataset,See paper for details.,challenging task and its impor-tance is increasing because of the availability and easy access of weapons in the market.,weapon detection; deep learning; YOLO; object detection; edge computing,"Ahmed, S., Bhatti, M. T., Khan, M. G., Lövström, B., & Shahid, M. (2022, June 7). Development and Optimization of Deep Learning Models for Weapon Detection in Surveillance Videos. <i>Applied Sciences</i>. MDPI AG. http://doi.org/10.3390/app12125772"
Amin S.U.; Ullah M.; Sajjad M.; Cheikh F.A.; Hijji M.; Hijji A.; Muhammad K.,2022,We proposed a minimal complex deep learning-based model named EADN for anomaly detection that can operate in a surveillance system.,"Uses Convolutional Neural Network, Long Short-Term Memory.",Not specified,See paper for details.,challenging for security specialists.,anomaly detection; deep learning; CNN; LSTM; convolutional neural network,"Ul Amin, S., Ullah, M., Sajjad, M., Cheikh, F. A., Hijji, M., Hijji, A., & Muhammad, K. (2022, May 5). EADN: An Efficient Deep Learning Model for Anomaly Detection in Videos. <i>Mathematics</i>. MDPI AG. http://doi.org/10.3390/math10091555"
Vijeikis R.; Raudonis V.; Dervinis G.,2022,we present a novel architecture for violence detection from video surveillance cameras.,"Uses LSTM, MobileNet.",RWF-2000,81 ± 3% using a complex real-world security camera footage dataset based on RWF-2000.,Not specified,violence detection; LSTM; video surveillance; MobileNet; feature extraction,"Vijeikis, R., Raudonis, V., & Dervinis, G. (2022, March 13). Efficient Violence Detection in Surveillance. <i>Sensors</i>. MDPI AG. http://doi.org/10.3390/s22062216"
Wang B.; Yang C.; Chen Y.,2022,the main goal of social public safety risk prevention and control.,Uses Support Vector.,"CUHK Avenue, ShanghaiTech Campus","2% frame-level AUC on the CUHK Avenue and ShanghaiTech Campus datasets, respectively.","scarcity of anomalous data, as well as the complex environmental background and human behavior, video anomaly detection is a major problem in the field of computer vision.",anomaly detection; deep learning; video surveillance,"Wang, B., Yang, C., & Chen, Y. (2022, May 4). Detection Anomaly in Video Based on Deep Support Vector Data Description. (B. Ding, Ed.), <i>Computational Intelligence and Neuroscience</i>. Wiley. http://doi.org/10.1155/2022/5362093"
Arif E.; Shahzad S.K.; Mustafa R.; Jaffar M.A.; Iqbal M.W.,2022,we focused on the implementation and comparison of faster approaches such as Region (R-CNN) and Region Fully Convolutional Networks (R-FCN) with feature extractor Visual Geometry Group (VGG) and ResNet respectively.,"Uses Convolutional Neural Network, ResNet.",Not specified,See paper for details.,Not specified,weapon detection; CNN; convolutional neural network; object detection; real-time detection,"Arif, E., Khuram Shahzad, S., Mustafa, R., Arfan Jaffar, M., & Waseem Iqbal, M. (2022). Deep Neural Networks for Gun Detection in Public Surveillance. <i>Intelligent Automation & Soft Computing</i>. Tech Science Press. http://doi.org/10.32604/iasc.2022.021061"
Srihari P.; Harikiran J.,2022,Researchers can evaluate numerous information to ensure automated monitoring due to the widespread use of surveillance cameras in smart cities.,Deep learning-based approach.,IITR-IAR,"85% accuracy on IITR Infrared Action Recognition (IITR-IAR) and Thermal Simulated Fall (TSF) datasets, respectively.",Not specified,deep learning; object detection; action recognition,"Srihari, P., & Harikiran, J. (2022, November 10). Spatio-Temporal Information for Action Recognition in Thermal Video Using Deep Learning Model. <i>International journal of electrical and computer engineering systems</i>. Faculty of Electrical Engineering, Computer Science and Information Technology Osijek. http://doi.org/10.32985/ijeces.13.8.7"
Patwal A.; Diwakar M.; Tripathi V.; Singh P.,2022,The identification of abnormal behavior has several applications.,"Uses convolutional neural network, DenseNet.","UCF-Crime, crowd",See paper for details.,computational cost and require particular hardware resources.,anomaly detection; deep learning; convolutional neural network; video surveillance; CCTV,"Patwal, A., Diwakar, M., Tripathi, V., & Singh, P. (2023). An investigation of videos for abnormal behavior detection. <i>Procedia Computer Science</i>. Elsevier BV. http://doi.org/10.1016/j.procs.2023.01.202"
"Qasim, Maryam; Verdu, Elena",2023,Automatic identification of anomalies in video surveillance is an interesting research field.,Uses convolutional neural network.,Not specified,See paper for details.,Not specified,anomaly detection; CNN; convolutional neural network; video surveillance,"Qasim, M., & Verdu, E. (2023, June). Video anomaly detection system using deep convolutional and recurrent models. <i>Results in Engineering</i>. Elsevier BV. http://doi.org/10.1016/j.rineng.2023.101026"
"Qi, Baolong; Wu, Baoyuan; Sun, Bailing",2025,"Fistfight detection in video data is a critical task in video surveillance systems, where identifying physical altercations in real-time can enhance safety and security in public spaces.",Deep learning-based approach.,Not specified,See paper for details.,Not specified,deep learning; video surveillance,"Qi, B., Wu, B., & Sun, B. (2025, August 12). Automated violence monitoring system for real-time fistfight detection using deep learning-based temporal action localization. <i>Scientific Reports</i>. Springer Science and Business Media LLC. http://doi.org/10.1038/s41598-025-12531-4"
