Database,Article source,Authors,Title,Year,DOI,Short description,Keywords,APA
Scopus,Engineering Proceedings,Ihsan U.; Jhanjhi N.Z.; Ashraf H.; Ashfaq F.; Wicaksana F.A.,A Real-Time Intelligent Surveillance System for Suspicious Behavior and Facial Emotion Analysis Using YOLOv8 and DeepFace †,2025,doi.org/10.3390/engproc2025107059,"This study describes the creation of an intelligent surveillance system based on deep learning that aims to improve real-time security monitoring by automatically identifying suspicious activity. By using cutting-edge computer vision techniques, the suggested system overcomes the drawbacks of conventional surveillance that depends on human observation to spot irregularities in public spaces. The system successfully completes motion detection, trajectory analysis, and emotion recognition by using the YOLOv8 model for object detection and DeepFace for facial emotion analysis. Roboflow is used for dataset annotation, model training with optimized parameters, and visualization of object trajectories and detection confidence. The findings show that abnormal behaviors can be accurately identified, with noteworthy observations made about the emotional expressions and movement patterns of those deemed to be threats. Even though the system performs well in real time, issues like misclassification, model explainability, and a lack of diversity in the dataset still exist. Future research will concentrate on integrating multimodal data fusion, deeper models, and temporal sequence analysis to further enhance detection robustness and system intelligence.",ENGI,
Scopus,Neurocomputing,Yang Y.; Xie L.; Fu Z.; Yan J.; Naqvi S.M.,Pose-oriented scene-adaptive matching for abnormal event detection,2025,doi.org/10.1016/j.neucom.2024.128673,"For intelligent surveillance systems, abnormal event detection automatically analyses surveillance video sequences and detects abnormal objects or unusual human actions at the frame level. Due to the lack of labelled data, most approaches are semi-supervised based on reconstruction or prediction methods. However, these methods may not generalize well to unseen scene contexts. To address this issue, we present a novel self and mutual scene-adaptive matching method for abnormal event detection. In the framework, we propose synergistic pose estimation and object detection, which effectively integrates human pose and object detection information to improve pose estimation accuracy. Then, the poses are resized to reduce the spatial distance between the source and target domains. The improved pose sequences are further fed into a spatio-temporal graph convolutional network to extract the geometric features. Finally, the features are embedded in a clustering layer to classify action types and compute normality scores. The training data is taken from the training part of common video anomaly detection datasets: UCSD PED1 & PED2, CHUK Avenue, and ShanghaiTech Campus. The proposed framework is evaluated on video sequences with unseen scene contexts in the UCSD PED2 and ShanghaiTech Campus datasets. The detection accuracy and efficiency are also evaluated in detail, and the proposed method for abnormal event detection achieves the highest AUC performance, 84.6%, on the ShanghaiTech Campus dataset and relatively high AUC performance, 96.9% and 74.8%, on UCSD PED2 & PED1 datasets. Compared with other state-of-the-art works, the performance analysis and results confirm the robustness and effectiveness of our proposed framework for cross-scene abnormal event detection.",COMP; NEUR,
Scopus,Indonesian Journal of Electrical Engineering and Informatics,Vo H.-T.; Tien P.P.; Thien N.N.; Mui K.C.,An Approach for Improving Accuracy and Optimizing Resource Usage for Violence Detection in Surveillance Cameras in IoT Systems,2024,doi.org/10.52549/ijeei.v12i4.5787,"Violence is a serious issue that can happen in many places, like streets, schools, or homes, where people hurt each other or damage things. To help prevent violence, some places use special cameras called surveillance cameras. These cameras watch over areas and look for signs of violence, like people fighting or breaking things. When they see something, they can send an alert to the police or others who can help. However, building models to detect violence in videos or surveillance cameras can be challenging. Current models may not be lightweight, fast, or use fewer resources, which means they may not work well on all devices or in all situations. So, there is a need for new models that are better at detecting violence while still being fast and using fewer resources. In this study, we focus on training multiple models to detect violence. Specifically, we fine-tune various models, including MobileNet, MobileNetV2, DenseNet121, and ResNet50V2, combined with Bidirectional Long Short-Term Memory (BiLSTM) networks. Among these models, MobileNetV2 for spatial feature extraction combined with BiLSTM for temporal feature extraction stands out for its compact size, quick processing time, and ability to achieve satisfactory results. This combination offers a lightweight solution that can efficiently detect violence in videos or surveillance footage while maintaining good performance levels in IoT systems.",COMP; ENGI; MATH,
Scopus,Iaes International Journal of Artificial Intelligence,Muriithi H.M.; Lukandu Ateya I.; Wanyembi G.,Stand-off concealed firearm detection using motion tracking and convolutional neural networks,2024,doi.org/10.11591/ijai.v13.i3.pp2666-2673,"The standoff detection of concealed firearms is crutial in managing public security in public spaces. Currently employed standoff concealed weapon detection techniques employ electromagnetic wave imaging which has been found to be extremely slow and may require expensive hardware and may not be applicable in public open spaces. Inorder to maintain safety in open spaces, artificial intelligence enabled video surveillance systems have been widely adopted. This poses an opportunity to explore video surveillance cameras as concealed weapon detectors. A review of existing video surveillance based automated weapon detection approaches discovered that the focus was on the detection of unconcealed firearms leaving a gap in the detection of concealed firearms. This study addresses the aforementioned gap by providing a standoff concealed firearm detection approach on video based on skeletal-based human motion tracking and convolutional neural networks (CNN). The motion of armed and unarmed persons was tracked using a depth camera and further classified using CNN model. The developed model reported 100% accuracy, precision, and recall scores. These results outperformed results obtained from traditional machine learning models therefore highlighting the superior capability of the proposed approach for concealed firearm detection on video to complement the efforts of human video surveillance operators.",ENGI; DECI; COMP,
Scopus,Advanced Intelligent Systems,Ul Amin S.; Kim B.; Jung Y.; Seo S.; Park S.,Video Anomaly Detection Utilizing Efficient Spatiotemporal Feature Fusion with 3D Convolutions and Long Short-Term Memory Modules,2024,doi.org/10.1002/aisy.202300706,"Surveillance cameras produce vast amounts of video data, posing a challenge for analysts due to the infrequent occurrence of unusual events. To address this, intelligent surveillance systems leverage AI and computer vision to automatically detect anomalies. This study proposes an innovative method combining 3D convolutions and long short-term memory (LSTM) modules to capture spatiotemporal features in video data. Notably, a structured coarse-level feature fusion mechanism enhances generalization and mitigates the issue of vanishing gradients. Unlike traditional convolutional neural networks, the approach employs depth-wise feature stacking, reducing computational complexity and enhancing the architecture. Additionally, it integrates microautoencoder blocks for downsampling, eliminates the computational load of ConvLSTM2D layers, and employs frequent feature concatenation blocks during upsampling to preserve temporal information. Integrating a Conv-LSTM module at the down- and upsampling stages enhances the model's ability to capture short- and long-term temporal features, resulting in a 42-layer network while maintaining robust performance. Experimental results demonstrate significant reductions in false alarms and improved accuracy compared to contemporary methods, with enhancements of 2.7%, 0.6%, and 3.4% on the UCSDPed1, UCSDPed2, and Avenue datasets, respectively.",ENGI; MATE; COMP,
Scopus,Ecti Transactions on Computer and Information Technology,Dey A.; Biswas S.; Abualigah L.,Efficient Violence Recognition in Video Streams using ResDLCNN-GRU Attention Network,2024,doi.org/10.37936/ecti-cit.2024183.255679,"Detecting Violence in video streams is essential for public safety and security due to the rising frequency of violent incidents. Despite the extensive deployment of CCTV for surveillance, the available human monitoring resources still need to catch up with the need for vigilant supervision. This research presents a new lightweight model to address this gap by accurately identifying and categorizing violent behaviors in various scenariosincluding CCTV footage. The proposed method leverages optical flow and RGB data to capture spatiotemporal features in the Violence data. Built on a Residual DLCNN architecture integrated with the Attention mechanism and GRU components, the model effectively handles high-dimensional video data, enhancing accuracy by prioritizing crucial frames containing violent and nonviolent instances. The proposed model's performance was validated on the Hockey Fights (HF), Movie Fights, and SCVD datasets, achieving impressive accuracies of 98.38%, 99.62%, and 90.57%, respectively. Here, we developed the Extended Automatic Violence Detection Dataset (EAVDD), featuring 1530 videos of violent scenes in movies, public spaces, social media, and sports. Testing the model with top fight scenes in rated movies yielded outstanding results. This research supports surveillance systems and advances short video analysis and understanding with applications in public safety, social media, sports, and law enforcement.",COMP; DECI; ENGI,
Scopus,Journal of the Brazilian Computer Society,da Silva A.V.B.; Alves Pereira L.F.,Evaluating Methods for Violence Classification and Firearm Detection in Indoor CCTV Environment,2024,doi.org/10.5753/jbcs.2024.3282,"The adoption of security systems based on computer vision for violence detection has the potential to significantly improve safety in various public and private properties. However, developing these systems can be extremely challenging.We can choose to use classification models to identify violence in images or also use object detection models to identify firearms, which may indicate robbery. Additionally, when developing such systems focused on private environments, we encounter specific challenges, such as obtaining appropriate datasets to train the algorithms. Many publicly available datasets for violence detection consist of outdoor images, with elements such as streets and cars, which do not adequately reflect the nuances and unique characteristics of private properties. In this work, we evaluate both learned and handcrafted features to classify videos as ’violence’ or ’non-violence’ across a variety of datasets, including a new dataset composed exclusively of closed-circuit television (CCTV) images. Additionally, we propose a new dataset for firearm detection in CCTV images and conduct some experiments using YoloV8. In this way, we hope to provide a clearer insight into the possible decisions when developing a security system for indoor environments.",COMP,
Scopus,Intelligent Systems with Applications,Mukto M.M.; Hasan M.; Al Mahmud M.M.; Haque I.; Ahmed M.A.; Jabid T.; Ali M.S.; Ahmmad Rashid M.R.; Manzurul Islam M.; Islam M.,Design of a real-time crime monitoring system using deep learning techniques,2024,doi.org/10.1016/j.iswa.2023.200311,"Criminal Activities and Crime Monitoring System has long been a research topic. In this paper, we propose an effective Crime Monitoring System (CMS) that can detect a crime in real-time using a camera surveillance system and notify the appropriate law enforcement officer. The CMS was proposed to counterbalance human weaknesses such as inattention, slow reaction, and slacking, for example, in detecting crimes. The proposed CMS detects crime scenes by combining the mechanisms and functionalities of closed-circuit television (CCTV) cameras with various deep-learning methods and image-processing techniques. The CMS operates in three stages: weapon detection, violence detection, and face recognition. We used transfer learning models to detect weapons, and violence and used a face recognition algorithm to recognize faces. More specifically, to detect weapons YOLOv5, and MobileNetv2 to detect violence and used face recognition algorithms to recognize faces. The image dataset is used in CMS, while the video dataset is used to train the MobileNet-based violence detection model. In this case, frame-by-frame images extracted from video files were used to train the model. All of the models performed admirably. The weapon detection model detected four different weapon classes with greater than 80% accuracy. The violence detection model is also 95% accurate. The face recognition model had a 97% accuracy rate in detecting faces. The CMS's combined model was tested in a variety of real-world scenarios, and its performance was found to be outstanding. It was able to detect crime incidents and generate timely alarms, demonstrating its effectiveness in providing security and safety.",COMP,
Scopus,Multimedia Tools and Applications,Berardini D.; Migliorelli L.; Galdelli A.; Frontoni E.; Mancini A.; Moccia S.,A deep-learning framework running on edge devices for handgun and knife detection from indoor video-surveillance cameras,2024,doi.org/10.1007/s11042-023-16231-x,"The early detection of handguns and knives from surveillance videos is crucial to enhance people’s safety. Despite the increasing development of Deep Learning (DL) methods for general object detection, weapon detection from surveillance videos still presents open challenges. Among these, the most significant are: (i) the very small size of the weapons with respect to the camera field of view and (ii) the need of a real-time feedback, even when using low-cost edge devices for computation. Complex and recently-developed DL architectures could mitigate the former challenge but do not satisfy the latter one. To tackle such limitation, the proposed work addresses the weapon-detection task from an edge perspective. A double-step DL approach was developed and evaluated against other state-of-the-art methods on a custom indoor surveillance dataset. The approach is based on a first Convolutional Neural Network (CNN) for people detection which guides a second CNN to identify handguns and knives. To evaluate the performance in a real-world indoor environment, the approach was deployed on a NVIDIA Jetson Nano edge device which was connected to an IP camera. The system achieved near real-time performance without relying on expensive hardware. The results in terms of both COCO Average Precision (AP = 79.30) and Frames per Second (FPS = 5.10) on the low-power NVIDIA Jetson Nano pointed out the goodness of the proposed approach compared with the others, encouraging the spread of automated video surveillance systems affordable to everyone.",COMP; ENGI,
Scopus,Procedia Computer Science,Haiura I.-A.; Iftene A.,Detecting Violence in Videos using Convolutional Neural Networks,2024,doi.org/10.1016/j.procs.2024.09.465,"This paper explores the practical implementation of 3D Convolutional Neural Networks (CNNs) for real-time violence detection in surveillance scenarios, focusing on applications such as traffic aggression and bullying detection. In recent years, the proliferation of surveillance cameras has provided a vast amount of visual data, necessitating efficient and accurate automated methods for threat identification. In this study, we investigate the feasibility and effectiveness of employing 3D CNNs for violence detection in real-life scenarios. We propose a comprehensive framework that integrates data augmentation techniques and fine-tuning strategies to address the challenges of limited annotated data and diverse environmental conditions. Furthermore, we conduct extensive experiments on benchmark datasets to evaluate the performance of the proposed approach in detecting physical altercations. In summary, this study highlights the efficacy of 3D CNNs in detecting physical altercations, thereby contributing to the advancement of automated surveillance systems aimed at enhancing public safety. The findings presented herein not only underscore the practical utility of deep learning techniques in addressing real-world challenges but also point towards future avenues for improving the accuracy and reliability of violence detection algorithms through multimodal integration.",COMP,
Scopus,Peerj Computer Science,Dalal S.; Lilhore U.K.; Sharma N.; Arora S.; Simaiya S.; Ayadi M.; Almujally N.A.; Ksibi A.,Improving smart home surveillance through YOLO model with transfer learning and quantization for enhanced accuracy and efficiency,2024,doi.org/10.7717/PEERJ-CS.1939,"The use of closed-circuit television (CCTV) systems is widespread in all areas where serious safety concerns exist. Keeping an eye on things manually sounds like a time-consuming and challenging process. Identifying theft, detecting aggression, detecting explosive risks, etc., are all circumstances in which the term “security’’ takes on multiple meanings. When applied to crowded public spaces, the phrase “security’’ encompasses nearly every conceivable kind of abnormality. Detecting violent behaviour among them is challenging since it typically occurs in a group setting. Several practical limitations make it hard, though complex functional limitations make it difficult to analyze crowd film scenes for anomalous or aberrant behaviour. This article provides a broad overview of the field, starting with object identification and moving on to action recognition, crowd analysis, and violence detection in a crowd setting. By combining you only look once (YOLO) with transfer learning, the model may acquire new skills from various sources. This makes it more flexible for use in various object identification applications and lessens the time and effort required to gather large annotated datasets. This article proposes the YOLO model with transfer learning for intelligent surveillance in Internet of Thing (IoT)-enabled home environments in smart cities. Quantization concepts are being applied to optimize the YOLO model in this work. Using YOLO with quantization, the model is optimized for use on edge devices and mobile platforms, which have limited computing capabilities. Thus, even with limited technology, object detection systems may be used in various real-world applications. The proposed model has been validated on two different datasets of 7,382 images. The proposed model gains an accuracy level of 98.27%. The proposed method outperforms the conventional one. The use of the YOLO model and transfer learning with quantization has significant potential for enhancing ecological smart city monitoring, and further research and development in this area could contribute to developing more effective and efficient environmental smart city monitoring systems.",COMP,
Scopus,IEEE Access,Khan M.; Saddik A.E.; Gueaieb W.; De Masi G.; Karray F.,VD-Net: An Edge Vision-Based Surveillance System for Violence Detection,2024,doi.org/10.1109/ACCESS.2024.3380192,"The automation of surveillance systems, driven by the rapid development of computer vision technology, has significantly enhanced the analysis of surveillance videos, particularly in recognition of human activity, including behavior analysis and violence detection, thereby bolstering public and industrial security. Despite these advancements, detecting and analyzing violent actions remains challenging, especially for real-time surveillance systems with limited computing power. We propose an artificial intelligence-based framework called VD-Net (Violence Detection Network), enabled by Intelligent Internet-of-Things (IIoT) to detect violent behavior in public and private spaces. The model utilizes lightweight special task temporal convolutional network (ST-TCN) blocks and several bottleneck layers to focus on salient features in the input sequence. The learned features passed from the classifier to discriminate between violent and nonviolent actions. Additionally, our system is supposed to trigger an alert if violence is detected, which is then communicated to relevant departments. We checked the robustness of our system by surveillance and non-surveillance datasets and ensured a 1-4 % improvement in State-of-The-Art (SoTA) accuracy.",COMP; MATE; ENGI,
