Database,Article source,Authors,Title,Year,DOI,Short description(abstract if possible),Keywords,APA
MDPI,Information,"Filippo Carnovalini, Antonio Rodà and Geraint A. Wiggins ",Popularity Bias in Recommender Systems: The Search for Fairness in the Long Tail,2025,doi.org/https://doi.org/10.3390/info16020151,"Фундаментальный анализ того, как алгоритмы ранжирования создают ""пузыри популярности"", смещая релевантные, но менее популярные ресурсы (Long Tail) вниз. Предлагает методы mitigation.","Popularity Bias, Fairness, Long Tail, Ranking Algorithms, Recommender Systems","Carnovalini, F., Rodà, A., & Wiggins, G. A. (2025, February 19). Popularity Bias in Recommender Systems: The Search for Fairness in the Long Tail. Information. MDPI AG. http://doi.org/10.3390/info16020151"
IEEE Xplore,IEEE Access,Piyanuch Chaipornkaew; Thepparit Banditwattanawong,A Novel Method for News Recommendation on Websites Using the Clustered-Vectors Optimization Algorithm,2025,doi.org/10.1109/ACCESS.2025.3526885,"Вводит алгоритм CVO для оптимизации кластеризации контента на веб-сайтах. Улучшает позиционирование новостных ресурсов, учитывая контекст поведения посетителей (visit logs).","Clustered-Vectors Optimization, Website Recommendation, Text Vectorization, User Behavior","Chaipornkaew, P., & Banditwattanawong, T. (2025). A Novel Method for News Recommendation on Websites Using the Clustered-Vectors Optimization Algorithm. IEEE Access. Institute of Electrical and Electronics Engineers (IEEE). http://doi.org/10.1109/access.2025.3526885"
ACM Digital Library,Proceedings of the 48th International ACM SIGIR Conference on Research and Development in Information Retrieval (SIGIR '25),"Cheng, Xinghe and Zhou, Xufang and Fang, Liangda and He, Chaobo and Zhou, Yuyu and Luo, Weiqi and Gong, Zhiguo and Guan, Quanlong",NR4DER: Neural Re-ranking for Diversified Exercise Recommendation,2025,doi.org/10.1145/3726302.3730046,"Вводит модель нейронного переранжирования (Neural Re-ranking), которая балансирует между релевантностью (точностью) и разнообразием выдачи, решая проблему ""long-tail"" распределения.","Neural Re-ranking, Diversity, Recommendation, Long-tail Problem, Deep Learning","Cheng, X., Zhou, X., Fang, L., He, C., Zhou, Y., Luo, W., … Guan, Q. (2025, July 13). NR4DER: Neural Re-ranking for Diversified Exercise Recommendation. Proceedings of the 48th International ACM SIGIR Conference on Research and Development in Information Retrieval. ACM. http://doi.org/10.1145/3726302.3730046"
ACM Digital Library,Proceedings of the 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining (KDD '24),"Dai, Sunhao and Xu, Chen and Xu, Shicheng and Pang, Liang and Dong, Zhenhua and Xu, Jun",Bias and Unfairness in Information Retrieval Systems: New Challenges in the LLM Era,2024,doi.org/10.1145/3637528.3671458,"Surveys bias and unfairness in IR systems integrated with LLMs. Categorizes mitigation strategies across data collection, model development, and result evaluation stages to address distribution mismatch.","Information Retrieval, Large Language Model, Bias, Fairness","Dai, S., Xu, C., Xu, S., Pang, L., Dong, Z., & Xu, J. (2024, August 24). Bias and Unfairness in Information Retrieval Systems: New Challenges in the LLM Era. Proceedings of the 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining. ACM. http://doi.org/10.1145/3637528.3671458"
Springer Nature / Cureus,Cureus Journal of Business and Economics,"Jose Juan De Leon, Francesca Medda",Linguistic Alphas: Decoding the Market Impact of Words,2025,doi.org/10.7759/s44404-025-08244-6,Uses DistilBERT to categorize context-sensitive language to predict market behavior.,"experimental finance, factor-based models, value investing","De Leon, J. J., & Medda, F. (2025, November 13). Linguistic Alphas: Decoding the Market Impact of Words in Software Earnings Calls. Cureus Journal of Business and Economics. Springer Science and Business Media LLC. http://doi.org/10.7759/s44404-025-08244-6"
ACM Digital Library,Proceedings of the 34th ACM International Conference on Information and Knowledge Management (CIKM '25),"Deng, Zhirui and Qiao, Jingfen and Dou, Zhicheng and Wen, Ji-Rong and de Rijke, Maarten",DIVAgent: A Diversified Search Agent that Mimics the Human Search Process,2025,https://doi.org/10.1145/3746252.3761059,Proposes an intent-guided ranker using LLMs to reason over diverse search results and generate diversified document rankings.,"Search Result Diversification, LLM, Intent-Aware Ranking","Deng, Z., Qiao, J., Dou, Z., Wen, J.-R., & de Rijke, M. (2025, November 10). DIVAgent: A Diversified Search Agent that Mimics the Human Search Process. Proceedings of the 34th ACM International Conference on Information and Knowledge Management. ACM. http://doi.org/10.1145/3746252.3761059"
Frontiers,Frontiers in Artificial Intelligence,"Ghosh Soham , Mittal Gaurav ",Advancing engineering research through context-aware and knowledge graph–based retrieval-augmented generation,2025,doi.org/10.3389/frai.2025.1697169,"Описывает метод улучшения генеративного поиска (GenIR) с помощью графов знаний, что позволяет алгоритмам лучше ""понимать"" контекст запроса и точнее ранжировать технические ресурсы.","Knowledge Graphs, Context-Aware Retrieval, RAG, Generative Search, Engineering Resources","Ghosh, S., & Mittal, G. (2025, November 19). Advancing engineering research through context-aware and knowledge graph–based retrieval-augmented generation. Frontiers in Artificial Intelligence. Frontiers Media SA. http://doi.org/10.3389/frai.2025.1697169"
ACM Digital Library,Proceedings of the 46th International ACM SIGIR Conference on Research and Development in Information Retrieval (SIGIR '23),"Gupta, Shashank and Hager, Philipp and Huang, Jin and Vardasbi, Ali and Oosterhuis, Harrie",Recent Advances in the Foundations and Applications of Unbiased Learning to Rank,2023,doi.org/10.1145/3539618.3594247,"A review of modern Unbiased Learning to Rank (ULTR) methodologies, covering interaction biases including contextual bias.","Learning to Rank, Counterfactual Learning, Bias mitigation, Information Retrieval","Gupta, S., Hager, P., Huang, J., Vardasbi, A., & Oosterhuis, H. (2023, July 18). Recent Advances in the Foundations and Applications of Unbiased Learning to Rank. Proceedings of the 46th International ACM SIGIR Conference on Research and Development in Information Retrieval. ACM. http://doi.org/10.1145/3539618.3594247"
ScienceDirect,Procedia Computer Science,"Rihab Haddad, Lobna Hlaoua, Mohamed Nazih Omri",ReGAT-BERT: Transformer-Graph Fusion for Dynamic Reranking,2025,doi.org/10.1016/j.procs.2025.09.302,Integrates lexical-semantic relevance with contextual info using BERT and Graph Attention Networks for dynamic reranking.,BERT; Contextual similarity; Dynamic reranking; Graph Attention Networks,"Haddad, R., Hlaoua, L., & Omri, M. N. (2025). ReGAT-BERT: Transformer-Graph Fusion for Dynamic Reranking. Procedia Computer Science. Elsevier BV. http://doi.org/10.1016/j.procs.2025.09.302"
ACM Digital Library,Proceedings of the 48th International ACM SIGIR Conference on Research and Development in Information Retrieval (SIGIR '25),"Heuss, Maria and de Rijke, Maarten and Anand, Avishek",RankingSHAP – Faithful Listwise Feature Attribution Explanations for Ranking Models,2025,doi.org/10.1145/3726302.3729971,Focuses on providing explanations for document relationships in a ranked list to aid in the analysis of impact on positioning.,"Feature Attribution, Ranking Models, Explainability","Heuss, M., de Rijke, M., & Anand, A. (2025, July 13). RankingSHAP - Faithful Listwise Feature Attribution Explanations for Ranking Models . Proceedings of the 48th International ACM SIGIR Conference on Research and Development in Information Retrieval. ACM. http://doi.org/10.1145/3726302.3729971"
Springer Link,Advances in Information Retrieval (ECIR 2021) / Lecture Notes in Computer Science (LNCS),"Sebastian Hofstätter, Aldo Lipani, Sophia Althammer, Markus Zlabinger & Allan Hanbury 
",Mitigating the Position Bias of Transformer Models in Passage Re-ranking,2021,doi.org/10.1007/978-3-030-72113-8_16,Analyzes position bias in Question Answering datasets and proposes a debiasing method to ensure Transformer-based re-ranking remains effective.,Information retrieval; Transfer learning; De-biasing; Re-ranking; Transformer,"Hofstätter, S., Lipani, A., Althammer, S., Zlabinger, M., & Hanbury, A. (2021). Mitigating the Position Bias of Transformer Models in Passage Re-ranking. Lecture Notes in Computer Science. Springer International Publishing. http://doi.org/10.1007/978-3-030-72113-8_16"
IEEE Xplore,IEEE Access,Yuze Huang; Xiao Chen; Wenhui Zhang; Qianxi Li; He Li,Spatio-Temporal Aware Collaborative Service Ranking Prediction in IoT-Enabled Edge Computing,2025,doi.org/10.1109/ACCESS.2025.3576253,"Proposes ST-CRank, a spatio-temporal aware approach to rank edge services by analyzing dynamic QoS characteristics across different locations and timeframes.","Service Ranking, Spatio-Temporal Context, Edge Computing, QoS Prediction","Huang, Y., Chen, X., Zhang, W., Li, Q., & Li, H. (2025). Spatio-Temporal Aware Collaborative Service Ranking Prediction in IoT-Enabled Edge Computing. IEEE Access. Institute of Electrical and Electronics Engineers (IEEE). http://doi.org/10.1109/access.2025.3576253"
ACM Digital Library,Proceedings of the 34th ACM International Conference on Information and Knowledge Management (CIKM '25),"Jeon, Jihyeong and Lee, Jiwon and Ryu, Cheol and Kang, U",Entity-Aware Generative Retrieval for Personalized Contexts,2025,doi.org/10.1145/3746252.3761211,"Proposes PEARL, a generative retrieval framework that resolves context-dependent cues (location/time) to retrieve personalized information.","Personalized Information Retrieval, Generative Retrieval, Entity-Aware","Jeon, J., Lee, J., Ryu, C., & Kang, U. (2025, November 10). Entity-Aware Generative Retrieval for Personalized Contexts. Proceedings of the 34th ACM International Conference on Information and Knowledge Management. ACM. http://doi.org/10.1145/3746252.3761211"
MDPI,Electronics,"Ratomir Karlović, Mia Rovis, Alma Smajić, Luka Sever and Ivan Lorencin *",Context-Aware Tourism Recommendations Using Retrieval-Augmented Large Language Models and Semantic Re-Ranking,2025,doi.org/10.3390/electronics14224448,Исследует использование RAG и LLM для семантического переранжирования (re-ranking). Модель учитывает сложный пользовательский контекст для улучшения релевантности выдачи веб-ресурсов.,"RAG, Semantic Re-Ranking, LLM, Context-Awareness, Personalization","Karlović, R., Rovis, M., Smajić, A., Sever, L., & Lorencin, I. (2025, November 14). Context-Aware Tourism Recommendations Using Retrieval-Augmented Large Language Models and Semantic Re-Ranking. Electronics. MDPI AG. http://doi.org/10.3390/electronics14224448"
ACM Digital Library,Proceedings of the 34th ACM International Conference on Information and Knowledge Management (CIKM '25),"Krasakis, Antonios Minas and Yates, Andrew and Kanoulas, Evangelos",Constructing Set-Compositional and Negated Representations for First-Stage Ranking,2025,doi.org/10.1145/3746252.3761238,Introduces Disentangled Negation to enhance Learned Sparse Retrieval's handling of niche and negated queries in first-stage ranking.,"First-Stage Ranking, Query Representations, Negation, Learned Sparse Retrieval","Krasakis, A. M., Yates, A., & Kanoulas, E. (2025, November 10). Constructing Set-Compositional and Negated Representations for First-Stage Ranking. Proceedings of the 34th ACM International Conference on Information and Knowledge Management. ACM. http://doi.org/10.1145/3746252.3761238"
ACM Digital Library,Companion Proceedings of the ACM Web Conference 2025 (WWW Companion '25),"Kulkarni, Hrishikesh and Kallumadi, Surya and MacAvaney, Sean and Goharian, Nazli and Frieder, Ophir",GRIT: Graph-based Recall Improvement for Task-oriented E-commerce Queries,2025,doi.org/10.1145/3701716.3717859,Proposes GRIT to enhance first-stage retrieval using a product-similarity graph to locate neighbors with higher contextual and action relevance.,"Task-oriented queries, Product similarity graph, E-commerce product search","Kulkarni, H., Kallumadi, S., MacAvaney, S., Goharian, N., & Frieder, O. (2025, May 8). GRIT: Graph-based Recall Improvement for Task-oriented E-commerce Queries. Companion Proceedings of the ACM on Web Conference 2025. ACM. http://doi.org/10.1145/3701716.3717859"
ScienceDirect,Ain Shams Engineering Journal,"Sunil Kumar, Divya Rohatgi, Navin Prakash, Shubham Sahai, Saurav Chandra, Suman Kumar Mishra, Arshad Ali, Munish Kumar",2P-BEnc: A two-phase information retrieval and ranking system based on the BERT encoder,2026,doi.org/10.1016/j.asej.2025.103853,Two-phase system using cross-passage attention to aggregate contextual signals across documents to improve ranking.,BERT; Deep language model; Information retrieval; Learning-to-rank,"Kumar, S., Rohatgi, D., Prakash, N., Sahai, S., Chandra, S., Kumar Mishra, S., … Kumar, M. (2026, January). 2P-BEnc: A two-phase information retrieval and ranking system based on the BERT encoder. Ain Shams Engineering Journal. Elsevier BV. http://doi.org/10.1016/j.asej.2025.103853"
ACM Digital Library,ACM Transactions on Information Systems (TOIS),"Leonhardt, Jurek and Müller, Henrik and Rudra, Koustav and Khosla, Megha and Anand, Abhijit and Anand, Avishek",Efficient Neural Ranking using Forward Indexes and Lightweight Encoders,2023,doi.org/10.1145/3631939,Introduces Fast-Forward indexes and lightweight query encoders to address the efficiency of context-aware neural rankers by offloading computations to an offline indexing phase.,"Fast-Forward indexes, lightweight encoders, efficiency, neural ranking, dual-encoders","Leonhardt, J., Müller, H., Rudra, K., Khosla, M., Anand, A., & Anand, A. (2024, April 29). Efficient Neural Ranking Using Forward Indexes and Lightweight Encoders. ACM Transactions on Information Systems. Association for Computing Machinery (ACM). http://doi.org/10.1145/3631939"
ACM Digital Library,ACM Transactions on Information Systems (TOIS),"Leonhardt, Jurek and Rudra, Koustav and Anand, Avishek",Extractive Explanations for Interpretable Text Ranking,2023,doi.org/10.1145/3576924,Proposes the Select-And-Rank paradigm for explainable-by-design neural ranking. It uses a selector to extract a query-dependent subset of a document as an explanation and a ranker to make decisions based only on that subset.,"interpretable text ranking, extractive explanations, Select-And-Rank, document ranking","Leonhardt, J., Rudra, K., & Anand, A. (2023, March 23). Extractive Explanations for Interpretable Text Ranking. ACM Transactions on Information Systems. Association for Computing Machinery (ACM). http://doi.org/10.1145/3576924"
ACM Digital Library,Proceedings of the Web Conference 2022 (WWW '22),"Leonhardt, Jurek and Rudra, Koustav and Khosla, Megha and Anand, Abhijit and Anand, Avishek",Efficient Neural Ranking using Forward Indexes,2022,doi.org/10.1145/3485447.3511955,"Proposes the Fast-Forward index structure to allow pre-computation of document representations, enabling efficient semantic re-ranking by interpolating sparse scores with dense similarity.","Information retrieval, neural ranking, efficiency, forward indexes","Leonhardt, J., Rudra, K., Khosla, M., Anand, A., & Anand, A. (2022, April 25). Efficient Neural Ranking using Forward Indexes. Proceedings of the ACM Web Conference 2022. ACM. http://doi.org/10.1145/3485447.3511955"
ACM Digital Library,ACM Transactions on Information Systems (TOIS),"Li, Xiaoxi and Jin, Jiajie and Zhou, Yujia and Zhang, Yuyao and Zhang, Peitian and Zhu, Yutao and Dou, Zhicheng",From Matching to Generation: A Survey on Generative Information Retrieval,2025,doi.org/10.1145/3722552,"Systematic review of Generative Information Retrieval (GenIR), covering model structures, DocIDs, and evaluation of reliable response generation.","Generative Information Retrieval, Generative Document Retrieval, Reliable Response Generation","Li, X., Jin, J., Zhou, Y., Zhang, Y., Zhang, P., Zhu, Y., & Dou, Z. (2025, May 9). From Matching to Generation: A Survey on Generative Information Retrieval. ACM Transactions on Information Systems. Association for Computing Machinery (ACM). http://doi.org/10.1145/3722552"
Springer Link,Advances in Information Retrieval (ECIR 2024) / Lecture Notes in Computer Science (LNCS),"Lijun Lyu, Nirmal Roy, Harrie Oosterhuis, Avishek Anand",Is Interpretable Machine Learning Effective at Feature Selection for Neural Learning-to-Rank?,2024,doi.org/10.1007/978-3-031-56066-8_29,Investigates six interpretable machine learning methods for feature selection in neural LTR to identify document features critical to ranking behavior and efficiency.,"Neural ranking models, interpretability, feature selection, learning-to-rank","Lyu, L., Roy, N., Oosterhuis, H., & Anand, A. (2024). Is Interpretable Machine Learning Effective at Feature Selection for Neural Learning-to-Rank?. Lecture Notes in Computer Science. Springer Nature Switzerland. http://doi.org/10.1007/978-3-031-56066-8_29"
ETASR,"Engineering, Technology & Applied Science Research",A. F. A. Mahmoud,Enhancing Semantic Search Precision through the CBOW Algorithm in the Semantic Web,2025,doi.org/10.48084/etasr.9450,"Использует модель Continuous Bag of Words (CBOW) для создания богатых контекстных эмбеддингов, улучшая точность семантического поиска и ранжирования в Семантическом Вебе.","Semantic Web, CBOW, Word Embeddings, Search Precision, Semantic Search","Mahmoud, A. F. A., Mohammed, Z. M. S., Ben Ammar, M., Satty, A., Abdalla, F. A., Khamis, G. S. M., … Mohamed, A. S. (2025, February 2). Enhancing Semantic Search Precision through the CBOW Algorithm in the Semantic Web. Engineering, Technology & Applied Science Research. Engineering, Technology & Applied Science Research. http://doi.org/10.48084/etasr.9450"
IEEE Xplore,IEEE Internet of Things Journal,Cristyan Manta-Caro; Annalina Caputo; Juan M. Fernández-Luna,"Information Retrieval for IoT and WoT: State-of-the-Art, Taxonomy Framework, and Evolutionary Directions",2025,doi.org/10.1109/JIOT.2024.3522219,"Предлагает таксономию поиска в ""Вебе вещей"" (WoT), где контекст (время, локация, сенсоры) является критическим фактором ранжирования ресурсов. Анализирует эволюцию IR-задач в контекстно-зависимых средах.","Information Retrieval, Web of Things, Context-Awareness, Search Engines, Taxonomy","Manta-Caro, C., Caputo, A., & Fernández-Luna, J. M. (2025, March 15). Information Retrieval for IoT and WoT: State-of-the-Art, Taxonomy Framework, and Evolutionary Directions. IEEE Internet of Things Journal. Institute of Electrical and Electronics Engineers (IEEE). http://doi.org/10.1109/jiot.2024.3522219"
Springer Link,Artificial Intelligence Review,"Pablo Mateos, Alejandro Bellogín",A systematic literature review of recent advances on context-aware recommender systems,2024,doi.org/10.1007/s10462-024-10939-4,"Provides a systematic review of context-aware recommender systems (CARS), covering context integration, classification (temporal, spatial, social), and the shift toward Neural Network approaches and ranking metrics.","Recommendation systems, Context awareness, Context modeling, Evaluation","Mateos, P., & Bellogín, A. (2024, November 16). A systematic literature review of recent advances on context-aware recommender systems. Artificial Intelligence Review. Springer Science and Business Media LLC. http://doi.org/10.1007/s10462-024-10939-4"
Springer Link,Information Retrieval Journal,"Shahrzad Naseri, Jeffrey Dalton, Andrew Yates, James Allan",CEQE to SQET: A study of contextualized embeddings for query expansion,2022,doi.org/10.1007/s10791-022-09405-y,"Introduces SQET, which performs query expansion as a supervised classification task using contextualized language models, comparing it with unsupervised models in neural ranking.","Query expansion, Contextualized language models, Embeddings","Naseri, S., Dalton, J., Yates, A., & Allan, J. (2022, March 22). CEQE to SQET: A study of contextualized embeddings for query expansion. Information Retrieval Journal. Springer Science and Business Media LLC. http://doi.org/10.1007/s10791-022-09405-y"
ACM Digital Library,Proceedings of the 33rd ACM International Conference on Multimedia (MM '25),"Nguyen, Thinh-Phuc and Nguyen, Thanh-Hai and Dinh, Gia-Huy and Nguyen, Lam-Huy and Tran, Minh-Triet and Le, Trung-Nghia",ReCap: Event-Aware Image Captioning with Article Retrieval,2025,doi.org/10.1145/3746027.3762039,Proposes event-enriched image retrieval using article context and LLM-based generation to enhance description relevance and positioning.,"image captioning, image retrieval, real-world events, event-centric","Nguyen, T.-P., Nguyen, T.-H., Dinh, G.-H., Nguyen, L.-H., Tran, M.-T., & Le, T.-N. (2025, October 27). ReCap: Event-Aware Image Captioning with Article Retrieval and Semantic Gaussian Normalization. Proceedings of the 33rd ACM International Conference on Multimedia. ACM. http://doi.org/10.1145/3746027.3762039"
ACM Digital Library,Proceedings of the 34th ACM International Conference on Information and Knowledge Management (CIKM '25),"Niu, Zechun and Mei, Lang and Yang, Liu and Zhao, Ziyuan and Yan, Qiang and Mao, Jiaxin and Wen, Ji-Rong",Addressing Personalized Bias for Unbiased Learning to Rank,2025,doi.org/10.1145/3746252.3761377,"Addresses the ""user-aware"" ULTR problem by proposing an inverse-propensity-score estimator that mitigates bias arising from different user preferences and personalized examination propensities of documents.","Unbiased learning to rank, user-aware ULTR, personalized bias, Web search","Niu, Z., Mei, L., Yang, L., Zhao, Z., Yan, Q., Mao, J., & Wen, J.-R. (2025, November 10). Addressing Personalized Bias for Unbiased Learning to Rank. Proceedings of the 34th ACM International Conference on Information and Knowledge Management. ACM. http://doi.org/10.1145/3746252.3761377"
ScienceDirect,Knowledge-Based Systems,"Erik Novak, Luka Bizjak , Dunja Mladenić, Marko Grobelnik ",Why is a document relevant?,2022,doi.org/10.1016/j.knosys.2022.108545,Investigates factors contributing to relevance scores in cross-lingual retrieval settings to build transparent automatic learning tutors.,"Cross-lingual retrieval, Relevance scores, Document retrieval, AI transparency","Novak, E., Bizjak, L., Mladenić, D., & Grobelnik, M. (2022, May). Why is a document relevant? Understanding the relevance scores in cross-lingual document retrieval. Knowledge-Based Systems. Elsevier BV. http://doi.org/10.1016/j.knosys.2022.108545"
Springer Link,Journal of Intelligent Information Systems,"Dipannita Podder, Jiaul H. Paik & Pabitra Mitra ",A retrieval model with contextual correlation analysis for verbose queries,2026,doi.org/10.1007/s10844-025-01009-4,"Proposes a fully unsupervised, single-phase retrieval model that estimates query term centrality via contextual correlation analysis using BERT. Integrates weights into a modified Markov Random Field Sequential Dependence Model for document ranking.",Contextual embeddings; Dense representation; Document ranking; Information retrieval; Query term weighting; Verbose query,"Podder, D., Paik, J. H., & Mitra, P. (2026, January 2). A retrieval model with contextual correlation analysis for verbose queries. Journal of Intelligent Information Systems. Springer Science and Business Media LLC. http://doi.org/10.1007/s10844-025-01009-4"
ACM Digital Library,Proceedings of the 31st ACM International Conference on Information & Knowledge Management (CIKM '22),"Ren, Yi and Tang, Hongyan and Zhu, Siwen",Unbiased Learning to Rank with Biased Continuous Feedback,2022,doi.org/10.1145/3511808.3557483,Introduces an unbiased LTR algorithm that models position bias in a pairwise fashion to handle continuous feedback like dwell time.,"unbiased LTR, learning to rank, position bias, continuous feedback","Ren, Y., Tang, H., & Zhu, S. (2022, October 17). Unbiased Learning to Rank with Biased Continuous Feedback. Proceedings of the 31st ACM International Conference on Information & Knowledge Management. ACM. http://doi.org/10.1145/3511808.3557483"
